Project,SC,SNC,CNS,NSNC,Odds Ratio,p-value,CI Lower,CI Upper
conscrypt-1.0.0.RC11,2,2,1,8,8,0.202797202797203,0.459474246433977,139.289634830918
conscrypt-1.0.0.RC14,3,0,4,6,10.1111111111111,0.192307692307692,0.413110340963196,247.475208833716
conscrypt-1.0.0.RC2,1,3,0,9,8.14285714285714,0.307692307692308,0.264457286847009,250.725261684086
conscrypt-1.0.0.RC8,2,2,7,2,0.285714285714286,0.53006993006993,0.0231693038030362,3.52331057312681
conscrypt-1.0.1,3,0,3,7,15,0.0699300699300699,0.597298675218955,376.695963568847
conscrypt-1.0.2,0,3,0,10,3,1,0.0496014913984213,181.446157086447
conscrypt-1.1.1,1,2,1,9,4.5,0.423076923076923,0.18956652772857,106.822656102004
conscrypt-1.2.0,2,1,2,8,8,0.202797202797203,0.459474246433977,139.289634830918
conscrypt-1.4.2,3,0,3,7,15,0.0699300699300699,0.597298675218955,376.695963568847
conscrypt-2.1.0,1,2,1,9,4.5,0.423076923076923,0.18956652772857,106.822656102004
java-smt-0.60,1,0,1,0,1,1,0.0108201738707806,92.4199566423286
java-smt-1.0.1,1,0,1,1,3,1,0.0595275719044498,151.190443555237
java-smt-2.0.0,0,1,0,2,1.66666666666667,1,0.0202235451948511,137.353651450043
java-smt-2.0.0-alpha,1,0,1,1,3,1,0.0595275719044498,151.190443555237
java-smt-3.0.0,1,0,1,1,3,1,0.0595275719044498,151.190443555237
javacpp-0.5,12,0,0,0,,,,
javacpp-0.9,12,0,0,0,,,,
javacpp-1.1,14,0,0,0,,,,
javacpp-1.2,11,2,0,0,,,,
javacpp-1.2.1,13,0,0,0,,,,
javacpp-1.2.7,12,1,0,0,,,,
javacpp-1.3,9,4,0,0,,,,
javacpp-1.3.2,4,10,0,0,,,,
javacpp-1.4,4,11,0,0,,,,
javacpp-1.4.2,3,13,0,0,,,,
javacpp-1.4.4,3,15,0,0,,,,
javacpp-1.5,3,15,0,0,,,,
javacpp-1.5.1-1,3,15,0,0,,,,
jpype-v0.5.4.5,1,0,3,0,0.428571428571429,1,0.00546718701625461,33.5956075476605
jpype-v0.5.5.1,0,1,3,0,0.0476190476190476,0.25,0.00060746522402829,3.73284528307339
jpype-v0.5.5.4,0,2,0,2,1,1,0.0136493149568598,73.2637500973939
jpype-v0.5.6,0,2,1,1,0.2,1,0.0045326518490449,8.8248560295732
jpype-v0.5.7,0,3,1,1,0.142857142857143,0.4,0.00343236627236969,5.94579996592741
jpype-v0.6.0,0,3,0,2,0.714285714285714,1,0.0102640232457239,49.7080013770635
jpype-v0.6.1,1,2,1,1,0.5,1,0.012779613911683,19.5624063236725
jpype-v0.6.2,1,2,2,0,0.12,0.4,0.00312126198313322,4.61351853122718
jpype-v0.6.3,0,3,1,1,0.142857142857143,0.4,0.00343236627236969,5.94579996592741
jpype-v0.7,1,4,2,0,0.0666666666666667,0.142857142857143,0.00190646886020224,2.33124418511246
pljava-rel1_5_stable-base,3,17,5,25,0.882352941176471,1,0.185723355776169,4.1919698766431
pljava-V1_4_3,6,13,3,28,4.30769230769231,0.0670479745682354,0.928965102776912,19.9751454196527
pljava-V1_5_0,5,14,8,21,0.9375,1,0.253955118951155,3.46087235268153
pljava-V1_5_0b3,0,19,0,29,1.51282051282051,1,0.0287974075266797,79.4733311285121
pljava-V1_5_1b1,7,11,16,12,0.477272727272727,0.365117975786539,0.142668233867113,1.59663612581424
pljava-V1_5_1b2,5,16,4,27,2.109375,0.4574258888524,0.493345959759705,9.01895070305675
pljava-V1_5_2,18,3,23,8,2.08695652173913,0.491412384070294,0.483094002485849,9.01561083602372
pljava-V1_5_3,6,14,11,16,0.623376623376623,0.546043627416202,0.182873634087979,2.12495593752727
realm-java-v0.90.0,13,5,17,9,1.37647058823529,0.747711112023227,0.371330557809968,5.10238449388922
realm-java-v1.2.0,6,6,1,19,19,0.00572573514731468,1.89086039923642,190.918377763785
realm-java-v2.3.2,18,1,28,2,1.28571428571429,1,0.108490484183579,15.2369236521484
realm-java-v3.7.2,15,8,22,19,1.61931818181818,0.435465448449328,0.563821391119189,4.65074829594861
realm-java-v4.4.0,5,17,3,42,4.11764705882353,0.102891225643738,0.884292890680081,19.1735311679352
realm-java-v5.11.0,3,16,5,55,2.0625,0.390586702533989,0.444017337067846,9.58049583849921
realm-java-v5.15.0,2,24,0,55,11.3265306122449,0.100308641975309,0.524029566183521,244.8149951623
realm-java-v5.4.0,4,18,5,43,1.91111111111111,0.447877965304117,0.459512291364853,7.94830899553106
realm-java-v5.7.1,7,16,5,44,3.85,0.0442681646332318,1.06791139256318,13.8798968746118
realm-java-v5.9.0,6,20,7,44,1.88571428571429,0.343710151349301,0.561316918698901,6.33495668648176
rocksdb-v5.0.2,19,27,30,10,0.234567901234568,0.0022040774239401,0.0929618970276354,0.591877984947244
rocksdb-v5.11.2,10,43,50,18,0.0837209302325581,1.90046873544443E-09,0.0349379979435994,0.200618082648006
rocksdb-v5.14.3,5,48,5,65,1.35416666666667,0.744070848455389,0.371091287390246,4.94155326040487
rocksdb-v5.17.2,10,43,8,64,1.86046511627907,0.303021644735283,0.67977469784907,5.09187891200359
rocksdb-v5.18.3,16,36,27,51,0.839506172839506,0.706057689416719,0.396053776295746,1.77948212191609
rocksdb-v5.4.6,35,9,47,2,0.16548463356974,0.0222048691651165,0.0336307058171252,0.814290490857502
rocksdb-v5.6.2,15,28,14,36,1.37755102040816,0.507742697479828,0.571388091230034,3.32111719329411
rocksdb-v5.9.2,14,31,19,39,0.926994906621392,1,0.401775105510857,2.13880737038045
rocksdb-v6.1.1,9,50,3,90,5.4,0.0115219125323483,1.39765702366598,20.8634876126583
rocksdb-v6.2.2,4,55,3,90,2.18181818181818,0.431354205019538,0.470521331416429,10.1171408407398
vlc-3.0.0,9,7,5,36,9.25714285714286,0.00122580859966908,2.37506566261036,36.0809788237041
vlc-3.0.11,5,11,9,32,1.61616161616162,0.504889468577877,0.444832134730182,5.87182931632952
vlc-3.0.13,13,2,14,28,13,0.000608669615932973,2.56997683604336,65.7593475668
vlc-3.0.92,7,7,2,17,8.5,0.0191434927697442,1.40338052289098,51.4828293691609
vlc-3.0.96,1,13,4,15,0.288461538461538,0.366202346041056,0.028526012683893,2.91698878822212
vlc-3.1.0,6,8,4,15,2.8125,0.256926888461927,0.609806015985087,12.9715943146639
vlc-3.1.2,6,8,7,12,1.28571428571429,1,0.313761990748461,5.26851968444779
vlc-3.1.6,3,11,5,14,0.763636363636364,1,0.148910675097582,3.91604225476536
vlc-3.1.7,6,8,9,10,0.833333333333333,1,0.207615019521312,3.34486611828755
zstd-jni-v0.4.4,3,0,3,0,1,1,0.0151375136420504,66.0610469887279
zstd-jni-v1.3.0-1,1,9,1,3,0.333333333333333,0.505494505494506,0.01556141318664,7.14016842676626
zstd-jni-v1.3.2-2,2,11,1,0,0.072463768115942,0.214285714285714,0.00223110214871933,2.3535442752252
zstd-jni-v1.3.3-1,2,8,2,2,0.25,0.52047952047952,0.020552596166213,3.04097835108275
zstd-jni-v1.3.4-1,4,10,1,0,0.142857142857143,0.333333333333333,0.0048359649152051,4.22008091935063
zstd-jni-v1.3.4-8,9,5,1,0,0.575757575757576,1,0.0198300842642239,16.7168621991337
zstd-jni-v1.3.5-3,4,10,1,0,0.142857142857143,0.333333333333333,0.0048359649152051,4.22008091935063
zstd-jni-v1.3.7-1,9,5,1,0,0.575757575757576,1,0.0198300842642239,16.7168621991337
zstd-jni-v1.3.8-1,6,4,4,1,0.375,0.6003996003996,0.0298630939577478,4.70898963781064
zstd-jni-v1.4.0-1,4,11,0,0,,,,
zstd-jni-v1.4.2-1,7,8,0,0,,,,
