Project,FileName,LOC,CodeChurn,PrevFixing
zstd-jni-v0.4.4,.gitignore,2,2,0
zstd-jni-v0.4.4,.travis.yml,19,37,0
zstd-jni-v0.4.4,LICENSE,22,29,0
zstd-jni-v0.4.4,README.md,75,446,2
zstd-jni-v0.4.4,project/Build.scala,89,271,2
zstd-jni-v0.4.4,project/build.properties,1,3,0
zstd-jni-v0.4.4,project/plugins.sbt,4,5,0
zstd-jni-v0.4.4,src/main/native/LICENSE,21,26,0
zstd-jni-v0.4.4,src/main/native/Makefile,102,156,1
zstd-jni-v0.4.4,src/main/native/bitstream.h,331,390,0
zstd-jni-v0.4.4,src/main/native/error.h,78,103,0
zstd-jni-v0.4.4,src/main/native/fse.c,1039,5287,3
zstd-jni-v0.4.4,src/main/native/fse.h,245,865,1
zstd-jni-v0.4.4,src/main/native/fse_static.h,241,588,1
zstd-jni-v0.4.4,src/main/native/huff0.c,1458,1770,0
zstd-jni-v0.4.4,src/main/native/huff0.h,77,98,0
zstd-jni-v0.4.4,src/main/native/huff0_static.h,63,81,0
zstd-jni-v0.4.4,src/main/native/jni_inputstream_zstd.c,61,86,2
zstd-jni-v0.4.4,src/main/native/jni_outputstream_zstd.c,84,149,2
zstd-jni-v0.4.4,src/main/native/jni_zstd.c,63,86,0
zstd-jni-v0.4.4,src/main/native/libzstd.pc.in,12,42,0
zstd-jni-v0.4.4,src/main/native/mem.h,246,295,0
zstd-jni-v0.4.4,src/main/native/zstd.h,102,221,1
zstd-jni-v0.4.4,src/main/native/zstd_buffered.c,496,571,0
zstd-jni-v0.4.4,src/main/native/zstd_buffered.h,148,203,0
zstd-jni-v0.4.4,src/main/native/zstd_buffered_static.h,51,50,0
zstd-jni-v0.4.4,src/main/native/zstd_compress.c,1896,2276,0
zstd-jni-v0.4.4,src/main/native/zstd_decompress.c,764,1057,0
zstd-jni-v0.4.4,src/main/native/zstd_internal.h,97,534,0
zstd-jni-v0.4.4,src/main/native/zstd_static.h,253,460,1
zstd-jni-v0.4.4,src/test/resources/xml,55526,0,0
zstd-jni-v0.4.4,src/test/resources/xml.zst,14761,0,0
zstd-jni-v0.4.4,src/test/scala/Perf.scala,85,184,0
zstd-jni-v0.4.4,src/test/scala/Zstd.scala,81,270,0
zstd-jni-v0.4.4,src/main/java/com/github/luben/zstd/Zstd.java,95,137,0
zstd-jni-v0.4.4,src/main/java/com/github/luben/zstd/ZstdInputStream.java,135,242,1
zstd-jni-v0.4.4,src/main/java/com/github/luben/zstd/ZstdOutputStream.java,114,208,1
zstd-jni-v0.4.4,src/main/java/com/github/luben/zstd/util/Native.java,82,107,0
zstd-jni-v1.3.0-1,.gitignore,3,3,0
zstd-jni-v1.3.0-1,.travis.yml,18,209,5
zstd-jni-v1.3.0-1,LICENSE,20,36,0
zstd-jni-v1.3.0-1,README.md,73,611,5
zstd-jni-v1.3.0-1,appveyor.yml,42,157,14
zstd-jni-v1.3.0-1,build.sbt,134,357,7
zstd-jni-v1.3.0-1,codecov.yml,6,6,0
zstd-jni-v1.3.0-1,project/build.properties,1,11,0
zstd-jni-v1.3.0-1,project/plugins.sbt,4,11,0
zstd-jni-v1.3.0-1,src/main/native/LICENSE,23,48,0
zstd-jni-v1.3.0-1,src/main/native/PATENTS,28,33,0
zstd-jni-v1.3.0-1,src/main/native/jni_directbuffercompress_zstd.c,106,123,0
zstd-jni-v1.3.0-1,src/main/native/jni_directbufferdecompress_zstd.c,70,0,0
zstd-jni-v1.3.0-1,src/main/native/jni_fast_zstd.c,179,296,1
zstd-jni-v1.3.0-1,src/main/native/jni_inputstream_zstd.c,82,450,7
zstd-jni-v1.3.0-1,src/main/native/jni_outputstream_zstd.c,104,635,7
zstd-jni-v1.3.0-1,src/main/native/jni_zdict.c,43,49,0
zstd-jni-v1.3.0-1,src/main/native/jni_zstd.c,284,518,2
zstd-jni-v1.3.0-1,src/main/native/zstd.h,965,2402,1
zstd-jni-v1.3.0-1,src/test/resources/xml,55526,0,0
zstd-jni-v1.3.0-1,src/test/resources/xml-1.zst,19252,0,3
zstd-jni-v1.3.0-1,src/test/resources/xml-16.zst,13385,0,0
zstd-jni-v1.3.0-1,src/test/resources/xml-1x2.zst,38515,0,1
zstd-jni-v1.3.0-1,src/test/resources/xml-3.zst,17817,0,3
zstd-jni-v1.3.0-1,src/test/resources/xml-6.zst,16305,0,1
zstd-jni-v1.3.0-1,src/test/resources/xml-9.zst,14786,0,1
zstd-jni-v1.3.0-1,src/test/resources/xml_v04.zst,19434,0,0
zstd-jni-v1.3.0-1,src/test/resources/xml_v05.zst,19665,0,0
zstd-jni-v1.3.0-1,src/test/resources/xml_v06.zst,19398,0,0
zstd-jni-v1.3.0-1,src/test/resources/xml_v07.zst,19264,0,0
zstd-jni-v1.3.0-1,src/test/resources/xmlx2,111051,0,0
zstd-jni-v1.3.0-1,src/test/scala/Perf.scala,148,313,5
zstd-jni-v1.3.0-1,src/test/scala/Zstd.scala,586,1201,15
zstd-jni-v1.3.0-1,src/test/scala/ZstdDict.scala,165,191,0
zstd-jni-v1.3.0-1,src/windows/include/jni_md.h,11,15,2
zstd-jni-v1.3.0-1,src/main/native/common/bitstream.h,398,189,0
zstd-jni-v1.3.0-1,src/main/native/common/entropy_common.c,194,355,0
zstd-jni-v1.3.0-1,src/main/native/common/error_private.c,44,51,0
zstd-jni-v1.3.0-1,src/main/native/common/error_private.h,57,89,0
zstd-jni-v1.3.0-1,src/main/native/common/fse.h,554,507,0
zstd-jni-v1.3.0-1,src/main/native/common/fse_decompress.c,262,400,0
zstd-jni-v1.3.0-1,src/main/native/common/huf.h,247,354,0
zstd-jni-v1.3.0-1,src/main/native/common/mem.h,306,280,0
zstd-jni-v1.3.0-1,src/main/native/common/pool.c,183,206,0
zstd-jni-v1.3.0-1,src/main/native/common/pool.h,49,61,0
zstd-jni-v1.3.0-1,src/main/native/common/threading.c,63,89,0
zstd-jni-v1.3.0-1,src/main/native/common/threading.h,81,106,0
zstd-jni-v1.3.0-1,src/main/native/common/xxhash.c,716,907,0
zstd-jni-v1.3.0-1,src/main/native/common/xxhash.h,243,405,0
zstd-jni-v1.3.0-1,src/main/native/common/zstd_common.c,65,206,0
zstd-jni-v1.3.0-1,src/main/native/common/zstd_errors.h,73,48,0
zstd-jni-v1.3.0-1,src/main/native/common/zstd_internal.h,282,359,0
zstd-jni-v1.3.0-1,src/main/native/compress/fse_compress.c,722,674,0
zstd-jni-v1.3.0-1,src/main/native/compress/huf_compress.c,584,1160,0
zstd-jni-v1.3.0-1,src/main/native/compress/zstd_compress.c,3698,5954,0
zstd-jni-v1.3.0-1,src/main/native/compress/zstd_opt.h,788,1057,0
zstd-jni-v1.3.0-1,src/main/native/compress/zstdmt_compress.c,843,1343,0
zstd-jni-v1.3.0-1,src/main/native/compress/zstdmt_compress.h,83,140,0
zstd-jni-v1.3.0-1,src/main/native/decompress/huf_decompress.c,848,1872,0
zstd-jni-v1.3.0-1,src/main/native/decompress/zstd_decompress.c,2208,4571,0
zstd-jni-v1.3.0-1,src/main/native/dictBuilder/cover.c,988,1152,0
zstd-jni-v1.3.0-1,src/main/native/dictBuilder/divsufsort.c,1718,1913,0
zstd-jni-v1.3.0-1,src/main/native/dictBuilder/divsufsort.h,58,77,0
zstd-jni-v1.3.0-1,src/main/native/dictBuilder/zdict.c,931,2128,0
zstd-jni-v1.3.0-1,src/main/native/dictBuilder/zdict.h,182,608,0
zstd-jni-v1.3.0-1,src/main/native/legacy/zstd_legacy.h,354,388,0
zstd-jni-v1.3.0-1,src/main/native/legacy/zstd_v04.c,3202,5389,0
zstd-jni-v1.3.0-1,src/main/native/legacy/zstd_v04.h,111,202,0
zstd-jni-v1.3.0-1,src/main/native/legacy/zstd_v05.c,3408,5684,0
zstd-jni-v1.3.0-1,src/main/native/legacy/zstd_v05.h,126,238,0
zstd-jni-v1.3.0-1,src/main/native/legacy/zstd_v06.c,3488,5181,0
zstd-jni-v1.3.0-1,src/main/native/legacy/zstd_v06.h,131,302,0
zstd-jni-v1.3.0-1,src/main/native/legacy/zstd_v07.c,3816,5551,0
zstd-jni-v1.3.0-1,src/main/native/legacy/zstd_v07.h,146,303,0
zstd-jni-v1.3.0-1,src/main/java/com/github/luben/zstd/Zstd.java,875,1400,2
zstd-jni-v1.3.0-1,src/main/java/com/github/luben/zstd/ZstdDictCompress.java,48,86,1
zstd-jni-v1.3.0-1,src/main/java/com/github/luben/zstd/ZstdDictDecompress.java,47,89,1
zstd-jni-v1.3.0-1,src/main/java/com/github/luben/zstd/ZstdDirectBufferCompressingStream.java,123,152,2
zstd-jni-v1.3.0-1,src/main/java/com/github/luben/zstd/ZstdDirectBufferDecompressingStream.java,101,158,2
zstd-jni-v1.3.0-1,src/main/java/com/github/luben/zstd/ZstdInputStream.java,159,1032,8
zstd-jni-v1.3.0-1,src/main/java/com/github/luben/zstd/ZstdOutputStream.java,128,538,7
zstd-jni-v1.3.0-1,src/main/java/com/github/luben/zstd/util/Native.java,116,172,1
zstd-jni-v1.3.2-2,.gitignore,3,3,0
zstd-jni-v1.3.2-2,.travis.yml,18,209,5
zstd-jni-v1.3.2-2,CMakeLists.txt,3,4,0
zstd-jni-v1.3.2-2,LICENSE,20,36,0
zstd-jni-v1.3.2-2,README.md,73,639,5
zstd-jni-v1.3.2-2,appveyor.yml,42,157,14
zstd-jni-v1.3.2-2,build.sbt,134,365,7
zstd-jni-v1.3.2-2,codecov.yml,6,6,0
zstd-jni-v1.3.2-2,project/build.properties,1,13,0
zstd-jni-v1.3.2-2,project/plugins.sbt,4,11,0
zstd-jni-v1.3.2-2,src/main/native/CMakeLists.txt,44,51,0
zstd-jni-v1.3.2-2,src/main/native/COPYING,281,339,0
zstd-jni-v1.3.2-2,src/main/native/LICENSE,23,48,0
zstd-jni-v1.3.2-2,src/main/native/Makefile,156,525,1
zstd-jni-v1.3.2-2,src/main/native/README.md,79,108,0
zstd-jni-v1.3.2-2,src/main/native/jni_directbuffercompress_zstd.c,106,123,0
zstd-jni-v1.3.2-2,src/main/native/jni_directbufferdecompress_zstd.c,70,0,0
zstd-jni-v1.3.2-2,src/main/native/jni_fast_zstd.c,179,296,1
zstd-jni-v1.3.2-2,src/main/native/jni_inputstream_zstd.c,82,450,7
zstd-jni-v1.3.2-2,src/main/native/jni_outputstream_zstd.c,104,635,7
zstd-jni-v1.3.2-2,src/main/native/jni_zdict.c,43,49,0
zstd-jni-v1.3.2-2,src/main/native/jni_zstd.c,284,518,2
zstd-jni-v1.3.2-2,src/main/native/zstd.h,1185,2916,1
zstd-jni-v1.3.2-2,src/test/resources/xml,55526,0,0
zstd-jni-v1.3.2-2,src/test/resources/xml-1.zst,19252,0,3
zstd-jni-v1.3.2-2,src/test/resources/xml-16.zst,13385,0,0
zstd-jni-v1.3.2-2,src/test/resources/xml-1x2.zst,38515,0,1
zstd-jni-v1.3.2-2,src/test/resources/xml-3.zst,17817,0,3
zstd-jni-v1.3.2-2,src/test/resources/xml-6.zst,16305,0,1
zstd-jni-v1.3.2-2,src/test/resources/xml-9.zst,14786,0,1
zstd-jni-v1.3.2-2,src/test/resources/xml_v04.zst,19434,0,0
zstd-jni-v1.3.2-2,src/test/resources/xml_v05.zst,19665,0,0
zstd-jni-v1.3.2-2,src/test/resources/xml_v06.zst,19398,0,0
zstd-jni-v1.3.2-2,src/test/resources/xml_v07.zst,19264,0,0
zstd-jni-v1.3.2-2,src/test/resources/xmlx2,111051,0,0
zstd-jni-v1.3.2-2,src/test/scala/Perf.scala,148,313,5
zstd-jni-v1.3.2-2,src/test/scala/Zstd.scala,586,1201,15
zstd-jni-v1.3.2-2,src/test/scala/ZstdDict.scala,165,191,0
zstd-jni-v1.3.2-2,src/windows/include/jni_md.h,11,15,2
zstd-jni-v1.3.2-2,src/main/native/common/bitstream.h,410,328,0
zstd-jni-v1.3.2-2,src/main/native/common/compiler.h,78,86,0
zstd-jni-v1.3.2-2,src/main/native/common/entropy_common.c,194,355,0
zstd-jni-v1.3.2-2,src/main/native/common/error_private.c,44,75,0
zstd-jni-v1.3.2-2,src/main/native/common/error_private.h,57,105,0
zstd-jni-v1.3.2-2,src/main/native/common/fse.h,560,525,0
zstd-jni-v1.3.2-2,src/main/native/common/fse_decompress.c,245,425,0
zstd-jni-v1.3.2-2,src/main/native/common/huf.h,248,367,0
zstd-jni-v1.3.2-2,src/main/native/common/mem.h,307,293,0
zstd-jni-v1.3.2-2,src/main/native/common/pool.c,223,401,0
zstd-jni-v1.3.2-2,src/main/native/common/pool.h,51,85,0
zstd-jni-v1.3.2-2,src/main/native/common/threading.c,60,115,0
zstd-jni-v1.3.2-2,src/main/native/common/threading.h,97,201,0
zstd-jni-v1.3.2-2,src/main/native/common/xxhash.c,718,957,0
zstd-jni-v1.3.2-2,src/main/native/common/xxhash.h,243,405,0
zstd-jni-v1.3.2-2,src/main/native/common/zstd_common.c,65,218,0
zstd-jni-v1.3.2-2,src/main/native/common/zstd_errors.h,73,114,0
zstd-jni-v1.3.2-2,src/main/native/common/zstd_internal.h,341,588,0
zstd-jni-v1.3.2-2,src/main/native/compress/fse_compress.c,708,704,0
zstd-jni-v1.3.2-2,src/main/native/compress/huf_compress.c,586,1174,0
zstd-jni-v1.3.2-2,src/main/native/compress/zstd_compress.c,2665,9596,0
zstd-jni-v1.3.2-2,src/main/native/compress/zstd_compress.h,270,307,0
zstd-jni-v1.3.2-2,src/main/native/compress/zstd_double_fast.c,276,308,0
zstd-jni-v1.3.2-2,src/main/native/compress/zstd_double_fast.h,22,28,0
zstd-jni-v1.3.2-2,src/main/native/compress/zstd_fast.c,216,242,0
zstd-jni-v1.3.2-2,src/main/native/compress/zstd_fast.h,24,30,0
zstd-jni-v1.3.2-2,src/main/native/compress/zstd_lazy.c,656,749,0
zstd-jni-v1.3.2-2,src/main/native/compress/zstd_lazy.h,30,38,0
zstd-jni-v1.3.2-2,src/main/native/compress/zstd_ldm.c,621,707,0
zstd-jni-v1.3.2-2,src/main/native/compress/zstd_ldm.h,55,67,0
zstd-jni-v1.3.2-2,src/main/native/compress/zstd_opt.c,807,957,0
zstd-jni-v1.3.2-2,src/main/native/compress/zstd_opt.h,23,2227,0
zstd-jni-v1.3.2-2,src/main/native/compress/zstdmt_compress.c,981,2065,0
zstd-jni-v1.3.2-2,src/main/native/compress/zstdmt_compress.h,97,182,0
zstd-jni-v1.3.2-2,src/main/native/decompress/huf_decompress.c,834,1904,0
zstd-jni-v1.3.2-2,src/main/native/decompress/zstd_decompress.c,2349,5350,0
zstd-jni-v1.3.2-2,src/main/native/dictBuilder/cover.c,997,1223,0
zstd-jni-v1.3.2-2,src/main/native/dictBuilder/divsufsort.c,1718,1913,0
zstd-jni-v1.3.2-2,src/main/native/dictBuilder/divsufsort.h,58,77,0
zstd-jni-v1.3.2-2,src/main/native/dictBuilder/zdict.c,934,2151,0
zstd-jni-v1.3.2-2,src/main/native/dictBuilder/zdict.h,183,617,0
zstd-jni-v1.3.2-2,src/main/native/legacy/zstd_legacy.h,359,401,0
zstd-jni-v1.3.2-2,src/main/native/legacy/zstd_v04.c,3203,5400,0
zstd-jni-v1.3.2-2,src/main/native/legacy/zstd_v04.h,112,211,0
zstd-jni-v1.3.2-2,src/main/native/legacy/zstd_v05.c,3409,5695,0
zstd-jni-v1.3.2-2,src/main/native/legacy/zstd_v05.h,127,247,0
zstd-jni-v1.3.2-2,src/main/native/legacy/zstd_v06.c,3489,5192,0
zstd-jni-v1.3.2-2,src/main/native/legacy/zstd_v06.h,132,311,0
zstd-jni-v1.3.2-2,src/main/native/legacy/zstd_v07.c,3817,5560,0
zstd-jni-v1.3.2-2,src/main/native/legacy/zstd_v07.h,147,312,0
zstd-jni-v1.3.2-2,src/main/java/com/github/luben/zstd/Zstd.java,875,1400,2
zstd-jni-v1.3.2-2,src/main/java/com/github/luben/zstd/ZstdDictCompress.java,48,86,1
zstd-jni-v1.3.2-2,src/main/java/com/github/luben/zstd/ZstdDictDecompress.java,47,89,1
zstd-jni-v1.3.2-2,src/main/java/com/github/luben/zstd/ZstdDirectBufferCompressingStream.java,123,152,2
zstd-jni-v1.3.2-2,src/main/java/com/github/luben/zstd/ZstdDirectBufferDecompressingStream.java,101,158,2
zstd-jni-v1.3.2-2,src/main/java/com/github/luben/zstd/ZstdInputStream.java,159,1032,8
zstd-jni-v1.3.2-2,src/main/java/com/github/luben/zstd/ZstdOutputStream.java,128,538,7
zstd-jni-v1.3.2-2,src/main/java/com/github/luben/zstd/util/Native.java,116,172,1
zstd-jni-v1.3.3-1,.gitignore,3,3,0
zstd-jni-v1.3.3-1,.travis.yml,25,235,7
zstd-jni-v1.3.3-1,CMakeLists.txt,3,4,0
zstd-jni-v1.3.3-1,LICENSE,20,36,0
zstd-jni-v1.3.3-1,README.md,73,639,5
zstd-jni-v1.3.3-1,appveyor.yml,42,157,14
zstd-jni-v1.3.3-1,build.sbt,136,378,7
zstd-jni-v1.3.3-1,codecov.yml,6,6,0
zstd-jni-v1.3.3-1,project/build.properties,1,13,0
zstd-jni-v1.3.3-1,project/plugins.sbt,4,11,0
zstd-jni-v1.3.3-1,src/main/native/CMakeLists.txt,44,51,0
zstd-jni-v1.3.3-1,src/main/native/COPYING,281,339,0
zstd-jni-v1.3.3-1,src/main/native/LICENSE,23,48,0
zstd-jni-v1.3.3-1,src/main/native/Makefile,156,525,1
zstd-jni-v1.3.3-1,src/main/native/README.md,79,108,0
zstd-jni-v1.3.3-1,src/main/native/jni_directbuffercompress_zstd.c,106,123,0
zstd-jni-v1.3.3-1,src/main/native/jni_directbufferdecompress_zstd.c,70,0,0
zstd-jni-v1.3.3-1,src/main/native/jni_fast_zstd.c,179,296,1
zstd-jni-v1.3.3-1,src/main/native/jni_inputstream_zstd.c,82,450,7
zstd-jni-v1.3.3-1,src/main/native/jni_outputstream_zstd.c,104,635,7
zstd-jni-v1.3.3-1,src/main/native/jni_zdict.c,65,78,2
zstd-jni-v1.3.3-1,src/main/native/jni_zstd.c,322,558,2
zstd-jni-v1.3.3-1,src/main/native/zstd.h,1198,2989,1
zstd-jni-v1.3.3-1,src/test/resources/xml,55526,0,0
zstd-jni-v1.3.3-1,src/test/resources/xml-1.zst,19252,0,3
zstd-jni-v1.3.3-1,src/test/resources/xml-16.zst,13058,0,0
zstd-jni-v1.3.3-1,src/test/resources/xml-1x2.zst,38503,0,1
zstd-jni-v1.3.3-1,src/test/resources/xml-3.zst,17817,0,3
zstd-jni-v1.3.3-1,src/test/resources/xml-6.zst,16305,0,1
zstd-jni-v1.3.3-1,src/test/resources/xml-9.zst,14786,0,1
zstd-jni-v1.3.3-1,src/test/resources/xml_v04.zst,19434,0,0
zstd-jni-v1.3.3-1,src/test/resources/xml_v05.zst,19665,0,0
zstd-jni-v1.3.3-1,src/test/resources/xml_v06.zst,19398,0,0
zstd-jni-v1.3.3-1,src/test/resources/xml_v07.zst,19264,0,0
zstd-jni-v1.3.3-1,src/test/resources/xmlx2,111051,0,0
zstd-jni-v1.3.3-1,src/test/scala/Perf.scala,148,313,5
zstd-jni-v1.3.3-1,src/test/scala/Zstd.scala,601,1218,15
zstd-jni-v1.3.3-1,src/test/scala/ZstdDict.scala,179,210,1
zstd-jni-v1.3.3-1,src/windows/include/jni_md.h,11,15,2
zstd-jni-v1.3.3-1,src/main/native/common/bitstream.h,410,330,0
zstd-jni-v1.3.3-1,src/main/native/common/compiler.h,78,86,0
zstd-jni-v1.3.3-1,src/main/native/common/entropy_common.c,194,355,0
zstd-jni-v1.3.3-1,src/main/native/common/error_private.c,44,75,0
zstd-jni-v1.3.3-1,src/main/native/common/error_private.h,57,105,0
zstd-jni-v1.3.3-1,src/main/native/common/fse.h,560,525,0
zstd-jni-v1.3.3-1,src/main/native/common/fse_decompress.c,245,425,0
zstd-jni-v1.3.3-1,src/main/native/common/huf.h,248,367,0
zstd-jni-v1.3.3-1,src/main/native/common/mem.h,309,321,0
zstd-jni-v1.3.3-1,src/main/native/common/pool.c,222,404,0
zstd-jni-v1.3.3-1,src/main/native/common/pool.h,51,85,0
zstd-jni-v1.3.3-1,src/main/native/common/threading.c,60,115,0
zstd-jni-v1.3.3-1,src/main/native/common/threading.h,97,201,0
zstd-jni-v1.3.3-1,src/main/native/common/xxhash.c,718,957,0
zstd-jni-v1.3.3-1,src/main/native/common/xxhash.h,243,405,0
zstd-jni-v1.3.3-1,src/main/native/common/zstd_common.c,70,232,0
zstd-jni-v1.3.3-1,src/main/native/common/zstd_errors.h,73,114,0
zstd-jni-v1.3.3-1,src/main/native/common/zstd_internal.h,246,810,0
zstd-jni-v1.3.3-1,src/main/native/compress/fse_compress.c,708,704,0
zstd-jni-v1.3.3-1,src/main/native/compress/huf_compress.c,586,1174,0
zstd-jni-v1.3.3-1,src/main/native/compress/zstd_compress.c,2768,10367,0
zstd-jni-v1.3.3-1,src/main/native/compress/zstd_compress.h,270,307,0
zstd-jni-v1.3.3-1,src/main/native/compress/zstd_compress_internal.h,404,462,0
zstd-jni-v1.3.3-1,src/main/native/compress/zstd_double_fast.c,277,309,0
zstd-jni-v1.3.3-1,src/main/native/compress/zstd_double_fast.h,23,33,0
zstd-jni-v1.3.3-1,src/main/native/compress/zstd_fast.c,217,243,0
